Designator,Mid X,Mid Y,Layer,Rotation
BT1,84.2750mm,-104.7927mm,Bottom,270
BZ1,158.8915mm,-113.3975mm,Bottom,0
D1,117.0000mm,-80.1000mm,Bottom,0
D2,136.0000mm,-77.1000mm,Bottom,0
D3,155.1000mm,-68.1000mm,Bottom,0
D4,175.9959mm,-78.2186mm,Bottom,4
D5,196.9258mm,-92.2048mm,Bottom,10
D6,117.0000mm,-99.2000mm,Bottom,0
D7,136.9970mm,-96.1970mm,Bottom,0
D8,155.0790mm,-87.1850mm,Bottom,0
D9,175.0654mm,-97.3043mm,Bottom,4
D10,193.6258mm,-111.0048mm,Bottom,10
D12,116.8000mm,-118.2900mm,Bottom,0
D13,148.2000mm,-103.2000mm,Bottom,270
D14,155.0000mm,-106.3000mm,Bottom,0
D15,174.5959mm,-116.3186mm,Bottom,4
D16,190.3000mm,-129.7000mm,Bottom,10
D18,100.8800mm,-106.9600mm,Bottom,0
D20,107.5220mm,-131.8998mm,Bottom,60
D21,129.1030mm,-125.2210mm,Bottom,75
J1,82.7750mm,-127.1000mm,Bottom,270
PSW1,82.8750mm,-62.0000mm,Bottom,0
RSW1,84.4000mm,-120.2548mm,Bottom,90
SW18,95.5900mm,-113.9500mm,Bottom,0
LED1,121.0680mm,-66.1027mm,Bottom,180
LED2,140.0614mm,-63.1027mm,Bottom,180
LED3,159.1114mm,-54.1027mm,Bottom,180
LED4,181.2667mm,-64.5403mm,Bottom,184
LED5,203.6591mm,-79.1083mm,Bottom,190
LED6,121.0680mm,-85.1753mm,Bottom,180
LED7,140.0614mm,-82.1753mm,Bottom,180
LED8,159.1114mm,-73.1753mm,Bottom,180
LED9,179.9363mm,-83.5664mm,Bottom,184
LED10,200.3471mm,-97.8911mm,Bottom,190
LED12,121.0680mm,-104.2479mm,Bottom,180
LED13,140.0614mm,-101.2479mm,Bottom,180
LED14,159.1114mm,-92.2479mm,Bottom,180
LED15,178.6058mm,-102.5926mm,Bottom,184
LED16,197.0352mm,-116.6740mm,Bottom,190
LED20,99.4972mm,-135.0686mm,Bottom,150
LED21,120.4736mm,-126.2663mm,Bottom,165
